State,Action,reward,expected
"tensor([-1.,  0.,  0.,  1.,  0.,  1.,  0., -1.,  0.], device='cuda:0')","tensor(0., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(3., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0081, device='cuda:0')"
"tensor([ 0., -1., -1.,  0.,  0.,  0.,  0.,  1.,  1.], device='cuda:0')","tensor(0., device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0365, device='cuda:0')"
"tensor([ 0.,  0.,  0.,  0.,  0.,  1.,  0.,  0., -1.], device='cuda:0')","tensor(6., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0568, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(6., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0470, device='cuda:0')"
"tensor([ 0.,  1.,  0.,  0., -1.,  0.,  0., -1.,  1.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 1.], device='cuda:0')","tensor(7., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0436, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0470, device='cuda:0')"
"tensor([ 0.,  0., -1.,  1., -1.,  0.,  0.,  0.,  1.], device='cuda:0')","tensor(5., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0411, device='cuda:0')"
"tensor([ 0.,  0.,  0., -1.,  0.,  1.,  0.,  0.,  0.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0512, device='cuda:0')"
"tensor([-1.,  0.,  0.,  0.,  0.,  0.,  0.,  1.,  0.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0353, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0470, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(1., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0117, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 1., 0., 0., 0.], device='cuda:0')","tensor(5., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([-1.,  0.,  0.,  0.,  0.,  0.,  1.,  0.,  0.], device='cuda:0')","tensor(6., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([-1.,  0.,  0.,  0.,  1.,  0.,  1.,  0., -1.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0695, device='cuda:0')"
"tensor([ 0.,  0.,  0.,  0.,  0., -1.,  1.,  0.,  1.], device='cuda:0')","tensor(5., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([ 0.,  0.,  0.,  0.,  0.,  1.,  0.,  0., -1.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0467, device='cuda:0')"
